"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"21",NA,NA,NA,NA,NA,NA,NA,2.09344344637061e-14,6.84507619961424e-14,2.65538620400913e-11,2.50721579317404e-14,3.46344038152287e-12,8.09342808548013e-13,9.75705530063879e+29,3.88683954402215e-10,2.73086048441631e-11,NA,2.80006145109371e-09,9.00589494630832e-10,1.01866558582238e-11,1.34162531982617e+31,9.21387585816885e-10,7.71068619797246e-12,1.45725273499133e-11,3.97234533529541e+32,1.38879548877825e-09,2.17179831293317e+35,2.09509527829065e-08,3.12851169113727e+24,NA
"22",NA,NA,NA,NA,NA,NA,NA,2.17457392130775e-14,6.83339998852408e-14,2.30848888192201e-11,2.59028094103114e-14,3.39766362097367e-12,7.56232243835046e-13,1.16198940304252e+30,4.0789881527723e-10,2.67217095330932e-11,NA,2.19512274688702e-09,1.13691621017811e-09,1.25447018166641e-11,1.91962742838439e+31,7.63162100595226e-10,6.64349019695797e-12,1.20546060292385e-11,5.82401672693978e+32,1.48696889532317e-09,2.50201332829335e+35,2.32481089239247e-08,1.11123326925004e+24,NA
"23",NA,NA,NA,NA,NA,NA,NA,2.31823949855972e-14,6.84247242614567e-14,2.23011485538023e-11,2.53799060177166e-14,3.4408706511076e-12,7.91637346391717e-13,1.70985777516179e+30,4.17629364290217e-10,2.96170723281911e-11,NA,2.49424006532601e-09,1.00823900406193e-09,1.20004867881562e-11,2.48694368263419e+31,7.86433373513959e-10,8.10397991328285e-12,1.23475719405999e-11,5.71338503441956e+32,1.07268500371078e-09,8.78497784076074e+35,3.05009463434005e-08,3.24010851076643e+24,NA
"24",NA,NA,NA,NA,NA,NA,NA,2.23600089051891e-14,7.02792992720101e-14,2.20290072271885e-11,2.51397627376301e-14,3.2211332752394e-12,8.09198673569463e-13,1.58877004041837e+30,4.59387213811882e-10,3.20294260081328e-11,NA,2.36485053718852e-09,9.35023102795561e-10,8.62876999149988e-12,1.52457518014414e+31,8.92623327377958e-10,8.64404216540955e-12,1.01588308114669e-11,5.97458632458802e+32,1.35947828417813e-09,1.55031694733186e+35,2.23253449765009e-08,2.90832028820174e+24,NA
"25",NA,NA,NA,NA,NA,NA,NA,2.69103440063124e-14,6.59180594097728e-14,2.24148858499227e-11,2.41433882150775e-14,3.34886066082672e-12,8.30410994195087e-13,1.66760389461139e+30,4.31890703234701e-10,3.01164038930165e-11,NA,2.56040447676049e-09,1.0296087699353e-09,9.84650944844866e-12,1.36071623461136e+31,8.50989362735913e-10,9.24186584505016e-12,1.30342593033343e-11,3.19598633816462e+32,1.40345751327571e-09,3.66528698443838e+35,2.11384944537799e-08,2.69436748835109e+24,NA
"26",NA,NA,NA,NA,NA,NA,NA,2.66888028700316e-14,6.72720878504132e-14,2.07213168429421e-11,2.51102936246135e-14,3.33369941718898e-12,7.52665224097433e-13,1.29499845996613e+30,4.06051805055957e-10,2.96204953099637e-11,NA,2.39464428179106e-09,1.15628456779758e-09,8.53106759159635e-12,2.79364309425989e+31,9.67621917058473e-10,6.97624277271702e-12,9.76922868059781e-12,7.34315141553534e+32,1.18482808403647e-09,1.1625542189097e+35,2.35528213189999e-08,2.48788558942559e+24,NA
"27",NA,NA,NA,NA,NA,NA,NA,2.95196821611929e-14,6.37076419559109e-14,2.19020950872442e-11,2.51239083423681e-14,3.16057765416091e-12,7.44582356970986e-13,7.65764683364338e+29,4.39680724814399e-10,2.83561584095231e-11,NA,2.50484920072276e-09,9.55629933185961e-10,9.0920562270565e-12,1.68898505654172e+31,1.06728485881816e-09,6.79072833612435e-12,1.30558148682364e-11,4.98672660586444e+32,1.3255315308528e-09,2.46729431666488e+35,1.46266419160412e-08,2.52314730901254e+24,NA
"28",NA,NA,NA,NA,NA,NA,NA,2.85571127117178e-14,5.89800428992633e-14,2.05839449942327e-11,2.47143301156861e-14,3.45864548445994e-12,7.69033485508685e-13,1.52452983590609e+30,4.18920928037839e-10,2.96104174014485e-11,NA,2.16028035626121e-09,1.18253416384833e-09,1.14677453828975e-11,1.11628087890235e+31,9.58923616440138e-10,5.70918370762949e-12,1.19986621017889e-11,6.3607359891908e+32,1.42661032639671e-09,5.36786340161084e+35,2.12296797494975e-08,1.56710968767035e+24,NA
"29",NA,NA,NA,NA,NA,NA,NA,3.33126839063622e-14,6.58051671687894e-14,2.25910274301998e-11,2.21627487300086e-14,3.22463715707461e-12,7.81465314421764e-13,9.17893302437606e+29,4.23607616224203e-10,2.95508721040635e-11,NA,2.03788061842596e-09,9.98697609230081e-10,8.91639988065147e-12,5.96689284857535e+31,1.2150775417522e-09,9.14381035052112e-12,9.87865464018139e-12,4.9265185099058e+32,1.10319449465222e-09,3.75728935043516e+35,1.92844046916543e-08,1.76148934136714e+24,NA
"30",NA,NA,NA,NA,NA,NA,NA,3.43179277809759e-14,6.4399426437305e-14,1.92784182922218e-11,2.4913545721522e-14,3.00477736934346e-12,7.52916492852842e-13,1.0589186987356e+30,4.16725627069167e-10,3.03438053287126e-11,NA,2.59501842697614e-09,9.31045734600422e-10,1.0251721786918e-11,2.93938276643599e+31,1.00229133552141e-09,7.96389338943457e-12,1.07249340845855e-11,4.17142324091691e+32,1.87902661927964e-09,2.69564749966882e+35,2.21318669434412e-08,3.62056521272266e+24,NA
"31",NA,NA,NA,NA,NA,NA,NA,3.5610158762993e-14,6.2589573779691e-14,2.11564759277253e-11,2.59512873938294e-14,3.18714702837664e-12,7.58681054882104e-13,9.49707255092029e+29,4.31014343303742e-10,3.253814179515e-11,NA,2.28805202130043e-09,8.12526842852337e-10,8.93782323847063e-12,1.97435698438517e+31,8.66987277876185e-10,8.63708393088625e-12,1.15817606226535e-11,6.10610038033953e+32,1.10764306570437e-09,5.49743511521324e+35,1.79621926186812e-08,9.97575879228011e+23,NA
"32",NA,NA,NA,NA,NA,NA,NA,3.98923145954914e-14,6.15676556845923e-14,1.75423561950079e-11,2.41167312047334e-14,3.20635298181876e-12,7.27512381277832e-13,9.72256581704568e+29,4.31027052412864e-10,3.04239565210911e-11,NA,2.39807827857145e-09,1.13198337684842e-09,1.01888188624603e-11,1.78283693327991e+31,1.14113806831347e-09,6.79891194318089e-12,1.26060928448601e-11,1.18673155966776e+33,1.16472842846243e-09,3.21673488991958e+35,1.3791576807532e-08,1.93397043435889e+24,NA
"33",NA,NA,NA,NA,NA,NA,NA,4.04696441232109e-14,6.1579193387851e-14,1.86705385008321e-11,2.16280174774502e-14,3.1284636363515e-12,7.88949972845024e-13,9.79949889893276e+29,4.29145357998248e-10,2.9831739360679e-11,NA,2.37925737037697e-09,1.00544394102483e-09,1.0485625155528e-11,2.01147511799926e+31,9.77355347430353e-10,7.91334133631472e-12,1.1560579142142e-11,4.30191494211795e+32,1.36144074799663e-09,1.99970167134375e+35,2.4120241252802e-08,1.20308654438529e+24,NA
"34",NA,NA,NA,NA,NA,NA,NA,4.20636856393749e-14,6.34972925487398e-14,1.85263102085071e-11,2.28343558026561e-14,3.26436181934327e-12,7.5713807048587e-13,1.42372744204429e+30,4.48314680259021e-10,3.34728385666294e-11,NA,2.32758003420435e-09,1.01916457152835e-09,1.03536201092342e-11,3.45783771480699e+31,1.16591655576681e-09,1.13171755417386e-11,1.16880898582321e-11,5.01487175964718e+32,1.1142117236145e-09,5.1050549533402e+35,1.99284023959543e-08,6.8098881244722e+24,NA
"35",NA,NA,NA,NA,NA,NA,NA,4.63694463108072e-14,6.16047742837237e-14,1.8470543108482e-11,2.39375728392483e-14,2.83362378562344e-12,7.94338077353529e-13,1.00989264597302e+30,4.3478427533143e-10,2.92424109598589e-11,NA,2.78611912726086e-09,1.1845528981649e-09,9.97723584781445e-12,6.80426330616205e+31,9.1162240876537e-10,9.10311956856928e-12,1.20805073402841e-11,6.27625562376294e+32,1.11095496506087e-09,7.54840257581637e+34,1.76352481048271e-08,1.86198493019792e+24,NA
"36",NA,NA,NA,NA,NA,NA,NA,4.71938517474988e-14,6.08568388748664e-14,1.82388278610607e-11,2.28701133227658e-14,3.05832784871302e-12,8.20760936537649e-13,9.51961252328801e+29,4.15039664049516e-10,3.09964052434128e-11,NA,2.21942978472959e-09,1.00437973223159e-09,1.1513259989249e-11,2.99652736414048e+31,1.04394373167249e-09,7.76536469247602e-12,7.97708308569968e-12,6.26212418726126e+32,8.99367487628839e-10,1.99280014599886e+35,1.59655488264846e-08,2.54825587215552e+24,NA
"37",NA,NA,NA,NA,NA,NA,NA,4.71304328277778e-14,6.65158953085959e-14,1.54640480894492e-11,2.30866092576176e-14,2.97307331964537e-12,7.64930130364609e-13,1.0526112561556e+30,3.65359099788291e-10,3.49764997668486e-11,NA,2.4898986312847e-09,1.13281513407992e-09,1.04665191123021e-11,1.90274521654701e+31,1.21297160530137e-09,8.06007590912551e-12,9.47494657141198e-12,5.33302873348704e+32,9.87805172556228e-10,3.0585221599308e+35,1.8717029083764e-08,1.93284524480544e+24,NA
"38",NA,NA,NA,NA,NA,NA,NA,5.16768644697039e-14,6.80195827529996e-14,1.60358780212946e-11,2.3498708760545e-14,2.99079550483082e-12,7.25202267981246e-13,1.18059232790011e+30,4.16735504762063e-10,2.87992679915409e-11,NA,2.56013960916875e-09,1.05467939214413e-09,9.76303859990314e-12,2.26170000048556e+31,1.05563205570224e-09,7.4446478000554e-12,9.78152963797381e-12,2.26675565159689e+33,1.04922883358927e-09,3.55519619810937e+35,1.46531023835967e-08,3.54547357926055e+24,NA
"39",NA,NA,NA,NA,NA,NA,NA,5.4847547803423e-14,6.80967519296116e-14,1.61672847562448e-11,2.51284550061722e-14,2.73312475997764e-12,7.45178731060317e-13,1.2473550402335e+30,4.27860878648488e-10,2.83992258455984e-11,NA,2.3924134732579e-09,1.18517811132346e-09,1.10722788213453e-11,2.05539404219794e+31,1.42107217021545e-09,9.25169931283989e-12,1.29789697521616e-11,1.23800089451415e+33,1.0485413638487e-09,4.10308145393273e+35,1.38133556422102e-08,1.90000831042167e+24,NA
"40",NA,NA,NA,NA,NA,NA,NA,5.62017604911554e-14,7.04475375030059e-14,1.5001768760892e-11,2.56109356567857e-14,2.94255406815755e-12,7.15174955034343e-13,1.23922786316492e+30,4.04411253669952e-10,3.31271740783839e-11,NA,2.4642389858117e-09,1.11873230594128e-09,1.00247420671123e-11,1.70883001812718e+31,1.13722849193019e-09,9.41170397062942e-12,1.14580736764961e-11,4.95186735026226e+32,7.50483101435122e-10,3.25441204609871e+35,1.40159732180759e-08,2.64568508138263e+24,NA
"41",NA,NA,NA,NA,NA,NA,NA,5.96551467442719e-14,7.58217511910643e-14,1.54065118565665e-11,2.43936648700343e-14,3.13747852914461e-12,7.95515909528255e-13,6.82193862503637e+29,4.13540387374639e-10,3.17936816368677e-11,NA,2.03434681004135e-09,1.12650276106825e-09,1.43544699793810e-11,1.83094567873513e+31,1.00873082119272e-09,1.10045027870727e-11,1.26257147066923e-11,3.33051167213033e+32,9.28221348152939e-10,4.82264171158471e+35,1.5042140320115e-08,3.7583947801196e+24,NA
"42",NA,NA,NA,NA,NA,NA,NA,6.1902858913249e-14,7.33059316932363e-14,1.46159659719534e-11,2.22784344044982e-14,2.78122161793964e-12,7.45517169117121e-13,1.30436341127115e+30,3.80960747699137e-10,3.05826515034459e-11,NA,1.84157595902869e-09,1.01797517965475e-09,9.55339527995965e-12,3.56427824179553e+31,1.01878388835017e-09,9.01276162837674e-12,9.00750321034788e-12,2.35517713681587e+32,8.21482102486716e-10,4.87913771774869e+35,1.34068181710228e-08,1.80780191038912e+24,NA
"43",NA,NA,NA,NA,NA,NA,NA,6.32951364251612e-14,7.8630561790079e-14,1.47080948996248e-11,2.50176757835437e-14,2.94499473349936e-12,7.70346845666291e-13,1.40535713020688e+30,4.22045918524715e-10,2.59316920951912e-11,NA,2.92231586197977e-09,1.19246468288961e-09,1.22849430403891e-11,2.32368999938493e+31,1.26881436295257e-09,8.3119694786006e-12,1.38036527217969e-11,5.80027226874675e+32,1.09288520918314e-09,5.65261271740595e+35,1.2967673115467e-08,1.73722305040566e+24,NA
"44",NA,NA,NA,NA,NA,NA,NA,6.96945237549055e-14,8.43929825409116e-14,1.34578001077466e-11,2.35094397235045e-14,3.14714683006641e-12,7.52944050821219e-13,7.75082161695141e+29,3.89511296162066e-10,3.05242071769693e-11,NA,2.02242074613549e-09,1.13258834112914e-09,1.25039864069516e-11,2.12894378786806e+31,1.24666686740326e-09,8.71702694386296e-12,9.79302569865885e-12,3.18478048545973e+32,8.76972231050181e-10,6.93961475247356e+35,1.54916945415728e-08,2.08594890138856e+24,NA
"45",NA,NA,NA,NA,NA,NA,NA,6.79934011416235e-14,8.67165897565393e-14,1.30852592056099e-11,2.48771855339815e-14,2.92076933741061e-12,7.43596770926483e-13,6.94249414484385e+29,3.83866609002949e-10,3.10763771138389e-11,NA,2.5284058386878e-09,9.71451287734347e-10,1.04375318866386e-11,2.23669149793747e+31,1.27310307693495e-09,9.73250342550202e-12,1.08129505320374e-11,5.06018604101521e+32,9.31816215516832e-10,5.59870936090302e+35,1.3079940557089e-08,4.35460954029329e+24,NA
"46",NA,NA,NA,NA,NA,NA,NA,7.2799908975575e-14,8.77608320157766e-14,1.18385940550169e-11,2.63655377045822e-14,2.93043640242732e-12,7.48805603861356e-13,7.79180396382725e+29,3.82961920472476e-10,3.15995429685256e-11,NA,2.69810680534672e-09,1.21054742684495e-09,1.02233338892721e-11,1.75749543852767e+31,9.87443632091016e-10,1.12968279177655e-11,1.16874862308033e-11,5.88373500437508e+32,7.25979650962345e-10,1.44106475996101e+36,1.25345763483574e-08,2.44681062014183e+24,NA
"47",NA,NA,NA,NA,NA,NA,NA,7.92245830229167e-14,9.74237835523317e-14,1.24896575768552e-11,2.40365624909113e-14,2.72670123340701e-12,7.20211097668361e-13,7.60908018718541e+29,3.73793604976137e-10,3.15984904602323e-11,NA,2.10104758321597e-09,1.19752224166692e-09,1.28822976682272e-11,3.95955454558997e+31,1.15320953068553e-09,9.80026550387789e-12,1.0226090203669e-11,6.15864457196373e+32,6.17094350528701e-10,5.23583201263962e+35,1.14358479938148e-08,2.32209739725639e+24,NA
"48",NA,NA,NA,NA,NA,NA,NA,7.61883293812548e-14,9.95690984472755e-14,1.17052577685012e-11,2.54098912803919e-14,2.72258292824877e-12,7.68215843073332e-13,1.02471036080872e+30,3.65981600144255e-10,2.91105807304401e-11,NA,2.65132181169911e-09,1.08086331174865e-09,9.18098432073876e-12,4.32323094978509e+31,1.13808902459515e-09,9.23946517193368e-12,1.04765999737494e-11,1.28756086272654e+33,6.28288123627682e-10,3.26231395241467e+35,1.14266621376759e-08,2.9233981289702e+24,NA
"49",NA,NA,NA,NA,NA,NA,NA,8.01492216141025e-14,1.01646767500772e-13,1.1922311500338e-11,2.50893616081771e-14,2.79690998527225e-12,7.51837344653304e-13,6.39002653464412e+29,4.24303685228764e-10,2.99597773013474e-11,NA,2.12726096703229e-09,8.74307213252736e-10,1.16181446363e-11,4.09376438161812e+31,1.26648921365958e-09,7.89729005099269e-12,1.07401936540771e-11,8.05143681741389e+32,7.55133666513045e-10,3.7086437266702e+35,1.35424934052876e-08,1.29182194022995e+24,NA
